Epoch,Train_Loss,Val_Loss,Val_mIoU,Val_Pixel_Acc,mAcc
1,2.6614532997974982,N/A,N/A,N/A,
2,2.0194451797467012,N/A,N/A,N/A,
3,1.8176993968395085,N/A,N/A,N/A,
4,1.7252245476612678,N/A,N/A,N/A,
5,1.6674336756651218,5.356963517930772,5.289026737213135,25.053096771240234,"tensor(10.7132, device='cuda:0')"
6,1.6561349309407747,N/A,N/A,N/A,
7,1.6029637467402678,N/A,N/A,N/A,
8,1.549767629458354,N/A,N/A,N/A,
9,1.5249407176788037,N/A,N/A,N/A,
10,1.488297088788106,3.876405138439602,20.865360260009766,39.42739486694336,"tensor(39.6801, device='cuda:0')"
11,1.4734041736676142,N/A,N/A,N/A,
12,1.461572147332705,N/A,N/A,N/A,
13,1.4592677584061255,N/A,N/A,N/A,
14,1.4371487750456884,N/A,N/A,N/A,
15,1.388928037423354,1.902983061472575,31.229644775390625,70.78174591064453,"tensor(44.4261, device='cuda:0')"
16,1.3590802561778288,N/A,N/A,N/A,
17,1.3317262587639003,N/A,N/A,N/A,
18,1.30441610285869,N/A,N/A,N/A,
19,1.2849377657358463,N/A,N/A,N/A,
20,1.273722421664458,2.3792106045617,27.891584396362305,61.84262466430664,"tensor(44.7973, device='cuda:0')"
21,1.2596041296537106,N/A,N/A,N/A,
22,1.2548332271667628,N/A,N/A,N/A,
23,1.228703193939649,N/A,N/A,N/A,
24,1.218503516453963,N/A,N/A,N/A,
25,1.1965574530454783,1.7819678174124824,32.907440185546875,75.40522766113281,"tensor(41.5577, device='cuda:0')"
26,1.1963926622500787,N/A,N/A,N/A,
